c1,c2,text,For Class
2892639557,3/10/2018,More innocent lives are taken due to abortions than guns or (War style weapons) how about that...,n
4542523590,3/10/2018,"Most anti-gun people -- even those calling for ""just common sense"" controls -- don't know a damn thing about firearms or gun violence. Here are just a few examples. VIDEO:",n
4827273090,3/10/2018,"AB 3 is absurd. Completely restricts second amendment rights to those who are 18-20 years of age. 100% unconstitutional. They aren't trying to take away your guns? Well, here is a perfect example of just that.",n
525954482,3/10/2018,"legislation is just another example of The Left attempting to upend an entire system, and reduce the freedoms of the many because of the BAD actions of a few.",n
7.08E+17,3/10/2018,Just talked to some buddies about the  issue. Brought up the daily killing of babies due to abortion. Their minds were blown. They never looked at it from that perspective.,n
762534037,3/10/2018,I guess this isn't constant coverage on  because it doesn't fit the  narrative they are told to push...Stabbing rampage at Pa. high school leaves 22 wounded,n
7.94E+17,3/10/2018,"New Florida law hurts law-abiding citizens, and helps criminals.",n
82257426,3/10/2018,I guess we will just have to take your word on that. Most of your other promises have been broken. Worst is your liberal versionnof  which denies Constitutional rights.,n
8.29E+17,3/10/2018,"Just raise age of majority to 21 as well. Ask mama if it's ok to go outside at 21 also, dangerous drugs in streets. Apparently the safe thing to do is keep rights away from people for as long as possible",n
8.82E+17,3/10/2018,So  want us to accept the wisdom of an 18 year old on  yet they don't think that 18 year old is wise enough to own a gun?   ??,n
9.02E+17,3/10/2018,"When will you  assholes realize, CRIMINALS DO NOT ABIDE BY LAWS. (psst, hence criminals)",n
9.07E+17,3/10/2018,A twin barrel AR-15. Seriously. Meet the Gilboa Snake that should go on sale soon.,n
9.40E+17,3/10/2018,What if you had to have 20 people certify you were chill before you could buy a gun...,n
9.55E+17,3/10/2018,"""Guns are safe. Stop falling for """,n
1004671441,3/11/2018," _st0rm Has the hip-hop community commented on  yet? Will Beyonc?? and J give up their assault weapons? Or is it lit if yous a pretend gangsta?"", "" is a trendy topic right now yet the msm is censoring the trial of the Pulse Shooters accomplice.  wanted him to attack !  "")",n
12804862,3/11/2018,"""The Second Amendment, like the First Amendment, doesn??t give anyone any rights. Instead, it prohibits the federal government from infringing on rights that are natural and God-given and that preexist government.""",n
139586905,3/11/2018,"I'm watching the Misunderstanding of Guns  on my &lt;a href=""App&lt;/a&gt;! available in the App Store.",n
15736424,3/11/2018," Because our Rights, which is our Property, is the price they want to pay to be slaves to the government.  is nonsense  is tyranny"", ""_BlueWord   Already been turned into a privilege with the unconstitutional background check system. What you listed aren't privileges, but products. Which costs $$ to get.  is nonsense  is tyranny"", ""Having actually read the uS Constitution, there's no power delegated to ban anything. And the People who own & exercise their Right to keep & bear arms, would not be willing to give it up easily either.  is nonsense  is tyranny"", 
""_BlueWord  The Right to keep and bear arms is Inherent to the Individual and not dependent on the .  is nonsense  is tyranny"", ""    People have the Right to contribute to the  all they want. Companies or Individuals can do so. Why do you have a problem with that?  is nonsense  is tyranny"", ""So what's the youngest age for a youth in the shooting sports?  is nonsense  is tyranny"")",n
16155872,3/11/2018,"Leftist want to save lives with gun control but ok with 300,000 abortions a yr. They talk about   women rights & victims, but silent about what Islam does to women with sex trade and slavery, or how female genital mutilation gets a shrug",n
161875839,3/11/2018,".  on  : ??Now, if the criminals would cooperate and come in and turn in their guns, I think this might be a nice idea. I have a suspicion they??re not going to do that.??",n
